Population,Matriline,Plant,PlantingBlock,Tube,NumOvules,NumLongStamens,NumShortStamens,Notes
ALE,1,A,1,1,37,4,1,One short stamen fell off after examination
ALE,1,A,1,1,48,4,2,
ALE,1,A,1,2,34,4,2,
ALE,1,A,1,2,34,4,2,
ALE,1,A,1,3,24,4,2,
ALE,1,A,1,3,28,4,2,
ALE,1,B,1,1,53,4,2,
ALE,1,B,1,1,56,4,2,
ALE,1,B,1,2,43,4,2,thrip?
ALE,1,B,1,2,51,4,2,
ALE,1,B,1,3,34,4,2,Disintegrating
ALE,3,A,1,1,48,4,2,
ALE,3,A,1,1,50,4,1,
ALE,3,A,1,2,37,4,2,
ALE,3,A,1,2,37,4,2,
ALE,3,B,1,1,36,4,1,
ALE,3,B,1,1,41,4,2,
ALE,3,B,1,2,23,4,2,
ALE,3,B,1,2,28,4,0,
ALE,3,B,1,3,25,4,1,disintegrating
ALE,3,B,1,3,.,4,1,disintegrating
ALE,4,A,1,1,52,4,2,
ALE,4,A,1,1,.,4,2,
ALE,4,A,1,2,38,4,2,
ALE,4,A,1,2,40,4,2,
ALE,4,A,1,3,33,4,2,disintegrating
ALE,4,B,1,1,.,4,2,
ALE,4,B,1,1,.,4,2,
ALE,4,B,1,2,38,4,2,
ALE,4,B,1,2,41,4,2,
ALE,4,B,1,3,29,4,2,
ALE,5,A,1,1,40,4,2,
ALE,5,A,1,1,42,4,2,
ALE,5,A,1,2,32,4,2,
ALE,5,A,1,2,35,4,2,
ALE,5,A,1,3,.,4,2,
ALE,5,B,1,1,44,4,2,
ALE,5,B,1,1,56,4,2,
ALE,5,B,1,2,41,4,2,
ALE,5,B,1,2,48,4,2,"Two long stamens, 2 medium [short stamens], 2 small [long stamens]"
ALE,5,B,1,3,.,4,2,
ALE,5,B,1,3,.,4,2,
ALE,8,A,1,1,48,4,2,
ALE,8,A,1,1,49,4,2,
ALE,8,C,2,1,40,4,2,disintegrating
ALE,8,C,2,1,44,4,2,disintegrating
ALE,8,C,2,2,34,4,2,disintegrating
ALE,8,C,2,2,36,4,2,disintegrating
ALE,8,C,2,3,.,4,2,disintegrating
ALE,8,C,2,3,.,4,2,disintegrating
ALE,9,A,1,1,43,4,2,
