Population,PopCode,#ShrtLSM,Elev_m,Lat_DecDeg,Lon_DecDeg,ShrtMatrPVE,#shrtLSMSE,#ShrtMatrVarComp,VC SE,95% Lower,95% Upper,Neg2LL,
Albet,ALE,,1229,42.41,1.32,,,,0.04,-0.04,0.10,56.32,
Arbucies,ARU,,416,41.81,2.49,,,,0.07,-0.15,0.13,100.55,
Barcelona,BAR,,441,41.43,2.13,,,,0.04,-0.09,0.06,63.10,
Bisaurri,BIS,,1444,42.49,0.53,,,,0.19,-0.10,0.66,64.58,
Bossost ,BOS,,715,42.78,0.69,,,,0.12,-0.30,0.19,130.39,
Cap de Creus,COC,,519,42.32,3.16,,,,0.03,-0.08,0.05,30.27,
Hortsavinya,HOR,,413,41.66,2.62,,,,0.08,-0.05,0.28,83.57,
Mura,MUR,,836,41.67,2.00,,,,0.09,-0.16,0.19,106.52,
Pallerols de Canto,PAL,,1585,42.34,1.30,,,,0.03,-0.05,0.06,37.36,
Panticosa,PAN,,1706,42.76,-0.23,,,,0.04,-0.15,0.01,52.48,
Pineda de Mar,PIN,,177,41.66,2.66,,,,0.07,-0.23,0.05,118.97,
Poblet,POB,,665,41.35,1.03,,,,0,0,0,.,
Rabos,RAB,,61,42.37,3.03,,,,0.27,-0.30,0.75,116.42,
Santa Pellaia,SAL,,332,41.93,2.92,,,,0.10,-0.11,0.27,102.59,
Vilanova de Meia,VDM,,991,42.03,1.03,,,,0.02,-0.04,0.03,53.88,
Vielha,VIE,,1605,42.63,0.76,,,,0.01,-0.02,0.01,49.12,
Bold=Oakley crossed for RILs,,,,,,,,,,,,,
